grade,month,day,heat_id,nom_length,billets_qty,l1_length,l2_length,l3_length,l1_romb,l2_romb,l3_romb
SAE 1011,Enero,2,35024773.0,4.4,106,4.4,4.41,4.4,6,5,5.0
SAE 1011,Enero,2,35024774.0,4.4,107,4.4,4.41,4.4,5,4,4.0
SAE 1011,Enero,2,35024775.0,4.4,123,4.4,4.41,4.4,5,4,4.0
SAE 1011,Enero,2,35024776.0,4.4,117,4.41,4.4,4.4,5,3,4.0
SAE 1011,Enero,2,35024777.0,4.4,116,4.42,4.41,4.41,3,2,2.0
SAE 1011,Enero,2,35024778.0,4.4,121,4.41,4.4,4.41,3,3,2.0
SAE 1011,Enero,2,35024779.0,4.4,118,4.44,4.41,4.4,3,3,3.0
SAE 1011,Enero,2,35024780.0,4.4,116,4.41,4.36,4.41,3,2,3.0
SAE 1011,Enero,2,35024781.0,4.4,119,4.41,4.45,4.41,3,2,3.0
SAE 1011,Enero,2,35024782.0,4.4,121,4.41,4.38,4.41,2,3,2.0
SAE 1011,Enero,2,35024783.0,4.4,114,4.41,4.4,4.4,3,2,4.0
SAE 1011,Enero,2,35024784.0,4.4,125,4.4,4.39,4.4,4,2,4.0
SAE 1011,Enero,2,35024785.0,4.4,115,4.4,4.4,4.41,4,2,2.0
SAE 1011,Enero,2,35024786.0,4.4,114,4.4,4.42,4.4,3,2,3.0
SAE 1011,Enero,2,35024787.0,4.4,122,4.41,4.42,4.41,4,2,2.0
SAE 1011,Enero,2,35024788.0,4.4,123,4.41,4.42,4.41,4,2,2.0
SAE 1011,Enero,2,35024789.0,4.4,112,4.41,4.42,4.41,4,2,3.0
SAE 1011,Enero,2,35024790.0,4.4,120,4.4,4.42,4.41,4,3,3.0
SAE 1011,Enero,2,35024791.0,4.4,118,4.4,4.42,4.41,4,3,3.0
SAE 1011,Enero,2,35024792.0,4.4,122,4.4,4.42,4.4,4,3,3.0
SAE 1011,Enero,2,35024793.0,4.4,114,4.4,4.41,4.4,3,2,2.0
